"sup_cod_id","wk_type","pdn_date","pdn_unit_price","pdn_quantity","pdn_amount_paid","pdn_total_amount","pdn_num_week","pdn_year","pdn_month","pdn_day"
SUP0100080,Productor,"2021-10-29",0.4,"34",0,13.600000000000001,43,2021,10,29
SUP0110083,Productor,"2021-10-29",0.6,"301",0,180.6,43,2021,10,29
SUP0170068,Productor,"2021-10-29",0.56,"368",0,206.08,43,2021,10,29
SUP0170068,Productor,"2021-10-29",0.04,"368",0,14.72,43,2021,10,29
SUP0020009,Productor,"2021-10-30",0.44,"144",0,63.36,43,2021,10,30
SUP0070043,Productor,"2021-10-30",0.4,"40",0,16.0,43,2021,10,30
SUP0080045,Productor,"2021-10-30",0.4,"28",0,11.200000000000001,43,2021,10,30
SUP0140044,Productor,"2021-10-30",0.46,"65",0,29.900000000000002,43,2021,10,30
SUP0090081,Productor,"2021-10-30",0.4,"60",0,24.0,43,2021,10,30
SUP0100080,Productor,"2021-10-30",0.4,"37",0,14.8,43,2021,10,30
SUP0110083,Productor,"2021-10-30",0.6,"311",0,186.6,43,2021,10,30
SUP0170068,Productor,"2021-10-30",0.56,"357",0,199.92000000000002,43,2021,10,30
SUP0170068,Productor,"2021-10-30",0.04,"357",0,14.280000000000001,43,2021,10,30
SUP0020009,Productor,"2021-10-31",0.44,"147",0,64.68,43,2021,10,31
SUP0070043,Productor,"2021-10-31",0.4,"40",0,16.0,43,2021,10,31
SUP0080045,Productor,"2021-10-31",0.4,"31",0,12.4,43,2021,10,31
SUP0140044,Productor,"2021-10-31",0.46,"61",0,28.060000000000002,43,2021,10,31
SUP0090081,Productor,"2021-10-31",0.4,"54",0,21.6,43,2021,10,31
SUP0100080,Productor,"2021-10-31",0.4,"28",0,11.200000000000001,43,2021,10,31
SUP0110083,Productor,"2021-10-31",0.6,"308",0,184.79999999999998,43,2021,10,31
SUP0170068,Productor,"2021-10-31",0.56,"358",0,200.48000000000002,43,2021,10,31
SUP0170068,Productor,"2021-10-31",0.04,"358",0,14.32,43,2021,10,31
SUP0020009,Productor,"2021-10-18",0.44,"0.06",0,0.0264,42,2021,10,18
SUP0070043,Productor,"2021-10-18",0.4,"0.1",0,0.04000000000000001,42,2021,10,18
SUP0140044,Productor,"2021-10-18",0.46,"0.04",0,0.0184,42,2021,10,18
SUP0020009,Productor,"2021-10-19",0.44,"146",0,64.24,42,2021,10,19
SUP0070043,Productor,"2021-10-19",0.4,"46",0,18.400000000000002,42,2021,10,19
SUP0080045,Productor,"2021-10-19",0.4,"32",0,12.8,42,2021,10,19
SUP0140044,Productor,"2021-10-19",0.46,"71",0,32.660000000000004,42,2021,10,19
SUP0090081,Productor,"2021-10-19",0.4,"46",0,18.400000000000002,42,2021,10,19
SUP0100080,Productor,"2021-10-19",0.4,"32",0,12.8,42,2021,10,19
SUP0110083,Productor,"2021-10-19",0.6,"289",0,173.4,42,2021,10,19
SUP0170068,Productor,"2021-10-19",0.56,"373",0,208.88000000000002,42,2021,10,19
SUP0170068,Productor,"2021-10-19",0.04,"373",0,14.92,42,2021,10,19
SUP0020009,Productor,"2021-10-20",0.44,"147",0,64.68,42,2021,10,20
SUP0070043,Productor,"2021-10-20",0.4,"52",0,20.8,42,2021,10,20
SUP0080045,Productor,"2021-10-20",0.4,"34",0,13.600000000000001,42,2021,10,20
SUP0140044,Productor,"2021-10-20",0.46,"72",0,33.120000000000005,42,2021,10,20
SUP0090081,Productor,"2021-10-20",0.4,"45",0,18.0,42,2021,10,20
SUP0100080,Productor,"2021-10-20",0.4,"36",0,14.4,42,2021,10,20
SUP0110083,Productor,"2021-10-20",0.6,"312",0,187.2,42,2021,10,20
SUP0170068,Productor,"2021-10-20",0.56,"360",0,201.60000000000002,42,2021,10,20
SUP0170068,Productor,"2021-10-20",0.04,"360",0,14.4,42,2021,10,20
SUP0020009,Productor,"2021-10-21",0.44,"141",0,62.04,42,2021,10,21
